Temp,humidity,rain (mm)
0.71,86.1,0.0
0.75,85.2,0.0
0.73,85.1,0.0
0.37,86.3,0.0
0.33,87.4,0.0
0.34,87.1,0.0
0.19,87.4,0.0
0.03,88.1,0.0
0.11,88.1,0.0
0.22,87.4,0.0
-0.04,87.5,0.0
-0.21,89.1,0.0
-0.1,88.6,0.0
-0.16,88.1,0.0
-0.22,88.9,0.0
-0.06,88.2,0.0
-0.17,88.6,0.0
-0.05,88.5,0.0
-0.21,88.7,0.0
-0.77,89.2,0.0
-0.93,90.6,0.0
-0.86,90.8,0.0
-0.87,90.9,0.0
-1.02,90.9,0.0
-1.15,91.4,0.0
-1.08,91.7,0.0
-1.59,90.5,0.0
-1.82,92.1,0.0
-1.84,92.4,0.0
-1.84,93.2,0.0
-2.14,92.3,0.0
-2.34,93.4,0.0
-2.2,93.8,0.0
-2.3,93.7,0.0
-2.4,94.1,0.0
-2.51,94.0,0.0
-2.83,94.1,0.0
-2.79,94.6,0.0
-2.74,94.8,0.0
-2.63,95.0,0.0
-2.5,95.0,0.0
-2.26,95.0,0.0
-2.31,94.3,0.0
-2.53,93.8,0.0
-2.68,94.1,0.0
-2.73,94.2,0.0
-2.79,94.3,0.0
-2.84,94.5,0.0
-2.89,94.5,0.0
-3.02,94.4,0.0
-2.84,94.7,0.0
-2.91,93.9,0.0
-3.11,93.6,0.0
-3.08,94.0,0.0
-3.03,93.8,0.0
-2.95,93.4,0.0
-3.01,92.9,0.0
-2.84,92.4,0.0
-2.67,92.5,0.0
-1.93,91.1,0.0
-1.53,87.4,0.0
-1.25,86.1,0.0
-1.24,86.1,0.0
-1.32,86.4,0.0
-1.03,85.9,0.0
-1.14,86.6,0.0
-0.83,85.8,0.0
-0.65,85.5,0.0
-0.43,85.0,0.0
-0.4,84.8,0.0
-0.06,84.1,0.0
0.68,82.0,0.0
0.93,80.5,0.0
1.23,80.1,0.0
1.7,78.3,0.0
1.98,77.5,0.0
2.62,75.3,0.0
2.83,74.2,0.0
2.87,74.1,0.0
3.09,73.7,0.0
3.86,70.9,0.0
3.84,70.7,0.0
4.03,70.0,0.0
3.7,70.8,0.0
3.45,72.2,0.0
3.64,71.4,0.0
3.89,70.3,0.0
3.87,70.4,0.0
4.32,69.02,0.0
4.58,68.2,0.0
4.2,69.47,0.0
4.07,70.3,0.0
4.44,69.19,0.0
4.5,68.67,0.0
4.34,68.54,0.0
3.74,70.4,0.0
3.23,72.5,0.0
2.99,73.4,0.0
2.89,73.7,0.0
2.77,74.0,0.0
2.6,74.7,0.0
2.09,76.6,0.0
1.63,78.9,0.0
1.26,79.3,0.0
1.03,79.6,0.0
0.99,81.3,0.0
0.85,81.6,0.0
0.63,81.9,0.0
0.35,81.8,0.0
0.05,84.0,0.0
-0.08,85.5,0.0
-0.21,85.3,0.0
-0.62,85.8,0.0
-1.32,85.9,0.0
-1.42,89.0,0.0
-1.31,90.1,0.0
-1.33,89.6,0.0
-1.38,89.8,0.0
-1.36,89.1,0.0
-1.48,89.7,0.0
-1.86,89.3,0.0
-2.15,90.6,0.0
-2.18,92.0,0.0
-2.24,92.2,0.0
-2.57,92.3,0.0
-2.78,92.8,0.0
-2.85,93.8,0.0
-2.95,93.7,0.0
-3.21,93.9,0.0
-3.06,94.7,0.0
-3.0,94.3,0.0
-3.21,94.0,0.0
-3.27,94.3,0.0
-3.31,94.4,0.0
-3.39,94.7,0.0
-3.35,94.8,0.0
-3.29,94.9,0.0
-3.19,94.5,0.0
-3.2,94.2,0.0
-3.32,93.4,0.0
-3.09,93.2,0.0
-2.96,90.4,0.0
-3.46,89.7,0.0
-3.39,91.4,0.0
-3.47,91.3,0.0
-3.94,91.2,0.0
-3.91,91.3,0.0
-3.86,92.0,0.0
-3.88,90.7,0.0
-4.23,90.1,0.0
-4.42,91.1,0.0
-4.42,92.6,0.0
-4.5,92.9,0.0
-4.31,93.9,0.0
-4.25,92.7,0.0
-4.2,93.1,0.0
-3.98,93.1,0.0
-4.07,91.2,0.0
-4.56,88.7,0.0
-4.78,89.7,0.0
-4.85,92.0,0.0
-4.86,92.5,0.0
-4.88,92.5,0.0
-4.91,91.7,0.0
-4.81,90.3,0.0
-5.03,91.1,0.0
-5.12,91.7,0.0
-4.72,92.2,0.0
-4.45,90.5,0.0
-4.54,89.6,0.0
-5.02,89.4,0.0
-5.39,90.9,0.0
-5.48,90.9,0.0
-5.43,89.9,0.0
-4.96,89.1,0.0
-4.87,85.4,0.0
-5.22,88.3,0.0
-5.43,89.8,0.0
-5.53,90.0,0.0
-5.45,91.3,0.0
-5.58,90.7,0.0
-5.78,90.8,0.0
-5.69,91.0,0.0
-5.44,90.3,0.0
-5.46,88.5,0.0
-5.47,89.7,0.0
-5.05,88.3,0.0
-4.94,87.4,0.0
-4.8,86.5,0.0
-4.91,86.6,0.0
-5.12,87.4,0.0
-5.13,86.8,0.0
-5.58,87.6,0.0
-5.66,90.2,0.0
-5.44,90.4,0.0
-4.73,87.5,0.0
-4.44,84.4,0.0
-4.39,83.7,0.0
-4.71,84.0,0.0
-4.68,86.2,0.0
-4.13,82.9,0.0
-4.07,82.8,0.0
-4.04,82.8,0.0
-4.16,83.6,0.0
-3.81,83.9,0.0
-3.53,83.6,0.0
-3.02,81.4,0.0
-2.78,80.2,0.0
-1.87,77.0,0.0
-1.24,73.7,0.0
-0.91,72.7,0.0
-0.56,71.4,0.0
-0.59,71.4,0.0
-0.19,70.2,0.0
0.48,67.31,0.0
1.06,65.15,0.0
1.8,61.45,0.0
1.92,61.68,0.0
2.72,59.96,0.0
3.47,58.23,0.0
4.37,55.33,0.0
4.98,52.83,0.0
5.58,50.54,0.0
5.73,52.29,0.0
6.06,52.72,0.0
6.47,53.29,0.0
6.47,53.8,0.0
6.22,55.42,0.0
5.88,58.09,0.0
5.71,60.07,0.0
5.91,59.87,0.0
5.7,60.77,0.0
5.41,61.54,0.0
5.66,60.22,0.0
5.77,59.89,0.0
5.61,61.08,0.0
5.47,61.8,0.0
5.49,61.73,0.0
4.96,63.64,0.0
4.28,66.44,0.0
3.69,68.68,0.0
3.36,70.1,0.0
3.25,69.98,0.0
3.18,69.27,0.0
3.06,70.5,0.0
2.88,70.2,0.0
2.61,71.3,0.0
2.32,72.3,0.0
1.91,74.4,0.0
1.42,76.1,0.0
1.41,77.0,0.0
1.41,76.3,0.0
1.12,77.2,0.0
1.16,77.3,0.0
0.91,77.9,0.0
0.62,78.9,0.0
0.15,80.4,0.0
-0.08,81.7,0.0
-0.22,82.5,0.0
-0.25,82.4,0.0
-0.47,83.0,0.0
-0.46,83.3,0.0
-0.71,84.2,0.0
-0.29,83.9,0.0
-0.36,83.6,0.0
